Feature,Amazon,Flipkart
Product Name,"realme NARZO 70 5G (Forest Green,6GB RAM, 128GB Storage | Dimensity 7050 5G Chipset | 120Hz AMOLED Display | 50MP Primary Camera | 45W Charger in The Box","realme RMX3869 (Glass Gold, 128 GB)(8 GB RAM)"
Price,"15,999.","₹17,653"
Description,"About this item45W SUPERVOOC Charge provide Charging up to 50% in 27 mins. 5000mAh Massive Battery provide upto Standby 518 hours or Youtube Video 17hours;Dimensity 7050 5G, Support Dual Carrier Aggregation Technology,Smart switch between 4G/5G networks according to your usage scenarios, saving up to 30% power consumption;Vapor Chamber Cooling System,The heat dissipation area is large and the heat dissipation efficiency is significantly enhanced, bringing a more stable performance;120Hz AMOLED Display,Screen-to-body ratio: 92.65%, Brightness: Maximum 1200 nits, Supports touch input even with wet hands. Rainwater Touch & IP54 Water Resistance50MP Primary Camera, Provide Night Mode,Street Mode,Photograph mode,Portrait Mode,Adapts to a wider range of photographic scenarios;›See more product details","Realme Narzo 70 Pro 5G mobile comes with 6nm octa-core MediaTek Dimensity chipset and 2x In-Sensor Zoom, Ultra Steady Video, Ultra Steady Max Video, Night Mode, Panoramic View, Expert, Timelapse, HDR, Ultra-wide, Ultra Macro, AI Scene Recognition, AI Beauty, Filter, Slow Motion, Bokeh Effect Control"
Rating,4.1 out of 5 (386 global ratings),4.2 (214 Ratings&17 Reviews)
Delivery Time,"Primary: Tuesday, 2 July, Secondary: Monday, 1 July","1 Jul, Monday"
OS,N/A,N/A
RAM,N/A,N/A
Product Dimensions,N/A,N/A
Batteries,N/A,N/A
Item model number,N/A,N/A
Wireless communication technologies,N/A,N/A
Connectivity technologies,N/A,N/A
Special features,N/A,N/A
Other display features,N/A,N/A
Other camera features,N/A,N/A
Form factor,N/A,N/A
Colour,N/A,N/A
Battery Power Rating,N/A,N/A
Whats in the box,N/A,N/A
Manufacturer,N/A,N/A
Country of Origin,N/A,N/A
Item Weight,N/A,N/A
